"","entity_id","sample_id","interp_age","interp_age_uncert_pos","interp_age_uncert_neg","age_model_type","d13C_measurement","d13C_precision"
"236",277,204758,973,142,218.05,"sisal: Bchron",-8.59,0.1
"237",277,204759,1039.59,NA,NA,"linear",-8.77,0.1
"238",277,204759,974,141.05,210.3,"sisal: Bchron",-8.77,0.1
"239",277,204760,1040.38,NA,NA,"linear",-8.9,0.1
"240",277,204760,976,139.05,210.1,"sisal: Bchron",-8.9,0.1
"241",277,204761,1041.16,NA,NA,"linear",-8.8,0.1
"242",277,204761,977.5,137.6,208.65,"sisal: Bchron",-8.8,0.1
"243",277,204762,1041.95,NA,NA,"linear",-8.51,0.1
"244",277,204762,978,139.05,207.2,"sisal: Bchron",-8.51,0.1
"245",277,204763,1042.73,NA,NA,"linear",-8.44,0.1
"246",277,204763,980,138,202.25,"sisal: Bchron",-8.44,0.1
"247",277,204764,1043.52,NA,NA,"linear",-8.64,0.1
"248",277,204764,981,138,196.45,"sisal: Bchron",-8.64,0.1
"249",277,204765,1044.3,NA,NA,"linear",-8.8,0.1
"250",277,204765,983.5,135.5,197.5,"sisal: Bchron",-8.8,0.1
"251",277,204766,1045.09,NA,NA,"linear",-8.79,0.1
"252",277,204766,985,135,194,"sisal: Bchron",-8.79,0.1
"253",277,204767,1045.87,NA,NA,"linear",-8.68,0.1
"254",277,204767,986,134,189.05,"sisal: Bchron",-8.68,0.1
"255",277,204768,1046.66,NA,NA,"linear",-8.72,0.1
"256",277,204768,986.5,133.5,185.55,"sisal: Bchron",-8.72,0.1
"257",277,204769,1047.45,NA,NA,"linear",-8.65,0.1
"258",277,204769,987.5,132.55,181.7,"sisal: Bchron",-8.65,0.1
"259",277,204770,1048.23,NA,NA,"linear",-8.34,0.1
"260",277,204770,988.5,131.55,178.5,"sisal: Bchron",-8.34,0.1
"261",277,204771,1049.02,NA,NA,"linear",-8.07,0.1
"262",277,204771,990,131,177.1,"sisal: Bchron",-8.07,0.1
"263",277,204772,1049.8,NA,NA,"linear",-7.9,0.1
"264",277,204772,990,131,172.05,"sisal: Bchron",-7.9,0.1
"265",277,204773,1050.59,NA,NA,"linear",-7.95,0.1
"266",277,204773,992,130.05,170.05,"sisal: Bchron",-7.95,0.1
"267",277,204774,1051.37,NA,NA,"linear",-7.95,0.1
"268",277,204774,993,130.05,167.1,"sisal: Bchron",-7.95,0.1
"269",277,204775,1052.16,NA,NA,"linear",-7.72,0.1
"270",277,204775,995,128.1,166.05,"sisal: Bchron",-7.72,0.1
"271",277,204776,1052.94,NA,NA,"linear",-7.4,0.1
"272",277,204776,996,127.1,163,"sisal: Bchron",-7.4,0.1
"273",277,204777,1053.73,NA,NA,"linear",-7.19,0.1
"274",277,204777,997,130,160.1,"sisal: Bchron",-7.19,0.1
"275",277,204778,1054.51,NA,NA,"linear",-7.34,0.1
"276",277,204778,998,129.1,160.05,"sisal: Bchron",-7.34,0.1
"277",277,204779,1055.3,NA,NA,"linear",-7.47,0.1
"278",277,204779,999,129.1,156.1,"sisal: Bchron",-7.47,0.1
"279",277,204780,1056.09,NA,NA,"linear",-7.44,0.1
"280",277,204780,1000.5,127.6,151.65,"sisal: Bchron",-7.44,0.1
"281",277,204781,1056.87,NA,NA,"linear",-7.4,0.1
"282",277,204781,1001.5,126.65,152.5,"sisal: Bchron",-7.4,0.1
"283",277,204782,1057.66,NA,NA,"linear",-7.49,0.1
"284",277,204782,1002,127.1,146.05,"sisal: Bchron",-7.49,0.1
"285",277,204783,1058.44,NA,NA,"linear",-7.61,0.1
"286",277,204783,1004,128.05,144.05,"sisal: Bchron",-7.61,0.1
"287",277,204784,1059.23,NA,NA,"linear",-7.51,0.1
"288",277,204784,1006,127.05,140.05,"sisal: Bchron",-7.51,0.1
"289",277,204785,1060.01,NA,NA,"linear",-7.57,0.1
"290",277,204785,1007,128,136,"sisal: Bchron",-7.57,0.1
"291",277,204786,1060.8,NA,NA,"linear",-7.73,0.1
"292",277,204786,1009,127,132.05,"sisal: Bchron",-7.73,0.1
