"","entity_id","sample_id","interp_age","interp_age_uncert_pos","interp_age_uncert_neg","age_model_type","d13C_measurement","d13C_precision"
"279",277,204919,1156.95,NA,NA,"linear",-8.38,0.1
"280",277,204920,1157.55,NA,NA,"linear",-8.51,0.1
"281",277,204921,1158.15,NA,NA,"linear",-8.84,0.1
"282",277,204922,1158.75,NA,NA,"linear",-9.02,0.1
"283",277,204923,1159.35,NA,NA,"linear",-9.05,0.1
"284",277,204924,1159.95,NA,NA,"linear",-9.15,0.1
"285",277,204925,1160.56,NA,NA,"linear",-9.23,0.1
"286",277,204926,1161.16,NA,NA,"linear",-9.33,0.1
"287",277,204927,1161.76,NA,NA,"linear",-9.23,0.1
"288",277,204928,1162.36,NA,NA,"linear",-9.05,0.1
"289",277,204929,1162.96,NA,NA,"linear",-8.71,0.1
"290",277,204930,1163.56,NA,NA,"linear",-8.36,0.1
"291",277,204931,1164.17,NA,NA,"linear",-8.17,0.1
"292",277,204932,1164.77,NA,NA,"linear",-8.21,0.1
"293",277,204933,1165.37,NA,NA,"linear",-8.33,0.1
"294",277,204934,1165.97,NA,NA,"linear",-8.29,0.1
"295",277,204935,1166.57,NA,NA,"linear",-8.21,0.1
"296",277,204936,1167.17,NA,NA,"linear",-8.05,0.1
"297",277,204937,1167.78,NA,NA,"linear",-8.18,0.1
"298",277,204938,1168.38,NA,NA,"linear",-8.35,0.1
"299",277,204939,1168.98,NA,NA,"linear",-8.55,0.1
"300",277,204940,1169.58,NA,NA,"linear",-8.5,0.1
"301",277,204941,1170.18,NA,NA,"linear",-8.28,0.1
"302",277,204942,1170.78,NA,NA,"linear",-7.99,0.1
"303",277,204943,1171.38,NA,NA,"linear",-7.88,0.1
"304",277,204944,1171.99,NA,NA,"linear",-7.91,0.1
"305",277,204945,1172.59,NA,NA,"linear",-8.13,0.1
"306",277,204946,1173.19,NA,NA,"linear",-8.28,0.1
"307",277,204947,1173.79,NA,NA,"linear",-8.26,0.1
"308",277,204948,1174.39,NA,NA,"linear",-8.13,0.1
"309",277,204949,1174.99,NA,NA,"linear",-7.89,0.1
"310",277,204950,1175.6,NA,NA,"linear",-7.61,0.1
"311",277,204951,1176.2,NA,NA,"linear",-7.42,0.1
"312",277,204952,1176.8,NA,NA,"linear",-7.43,0.1
"313",277,204953,1177.4,NA,NA,"linear",-7.67,0.1
"314",277,204954,1178,NA,NA,"linear",-7.81,0.1
"315",277,204955,1178.6,NA,NA,"linear",-7.83,0.1
"316",277,204956,1179.2,NA,NA,"linear",-7.73,0.1
"317",277,204957,1179.81,NA,NA,"linear",-7.75,0.1
"318",277,204958,1180.41,NA,NA,"linear",-7.5,0.1
"319",277,204959,1181.01,NA,NA,"linear",-7.57,0.1
"320",277,204960,1181.61,NA,NA,"linear",-7.61,0.1
"321",277,204961,1182.21,NA,NA,"linear",-7.94,0.1
"322",277,204962,1182.81,NA,NA,"linear",-8,0.1
"323",277,204963,1183.42,NA,NA,"linear",-8.14,0.1
"324",277,204964,1184.02,NA,NA,"linear",-8.37,0.1
"325",277,204965,1184.62,NA,NA,"linear",-8.59,0.1
"326",277,204966,1185.22,NA,NA,"linear",-8.64,0.1
"327",277,204967,1185.82,NA,NA,"linear",-8.53,0.1
"328",277,204968,1186.42,NA,NA,"linear",-8.38,0.1
"329",277,204969,1187.03,NA,NA,"linear",-8.17,0.1
"330",277,204970,1187.63,NA,NA,"linear",-8.08,0.1
"331",277,204971,1188.23,NA,NA,"linear",-8.15,0.1
"332",277,204972,1188.83,NA,NA,"linear",-8.32,0.1
"333",277,204973,1189.43,NA,NA,"linear",-8.4,0.1
"334",277,204974,1190.03,NA,NA,"linear",-8.48,0.1
"335",277,204975,1190.63,NA,NA,"linear",-8.52,0.1
"336",277,204976,1191.24,NA,NA,"linear",-8.67,0.1
"337",277,204977,1191.84,NA,NA,"linear",-8.57,0.1
"338",277,204978,1192.44,NA,NA,"linear",-8.44,0.1
"339",277,204979,1193.04,NA,NA,"linear",-8.32,0.1
"340",277,204980,1193.64,NA,NA,"linear",-8.4,0.1
"341",277,204981,1194.24,NA,NA,"linear",-8.4,0.1
"342",277,204982,1194.85,NA,NA,"linear",-8.35,0.1
"343",277,204983,1195.45,NA,NA,"linear",-8.89,0.1
"344",277,204984,1196.05,NA,NA,"linear",-9.26,0.1
"345",277,204985,1196.65,NA,NA,"linear",-9.32,0.1
"346",277,204986,1197.25,NA,NA,"linear",-8.83,0.1
"347",277,204987,1197.85,NA,NA,"linear",-8.67,0.1
"348",277,204988,1198.46,NA,NA,"linear",-8.73,0.1
"349",277,204989,1199.06,NA,NA,"linear",-8.63,0.1
"350",277,204990,1199.66,NA,NA,"linear",-8.29,0.1
"351",277,204991,1200.26,NA,NA,"linear",-7.89,0.1
"352",277,204992,1200.86,NA,NA,"linear",-7.69,0.1
"353",277,204993,1201.46,NA,NA,"linear",-7.86,0.1
"354",277,204994,1202.06,NA,NA,"linear",-8.29,0.1
"355",277,204995,1202.67,NA,NA,"linear",-8.74,0.1
"356",277,204996,1203.27,NA,NA,"linear",-8.91,0.1
"357",277,204997,1203.87,NA,NA,"linear",-8.89,0.1
